Project name,Institutions_clean,institution_ids,Head_institutions,Countries_ISO2,Public value framing,Public values (labels),Technical objectives,Public/private,Funding sources,Operational status,Open access,Scope,Geographic coverage,Data types,Data collection methods,TK from IPLCs,User interface,Real-time data,What-if modelling,Decision-support function,Homepages,Other relevant sources,Notes
PCA for the implementation of the water quality capacity development project in the Wider Caribbean Region Capacity,Institute for Marine and Coastal Research (INVEMAR),78,,CO,"Strengthen the development and adoption of the learning management system (LMS) by compiling and organizing regional studies and resources, supporting the coordination of academic and technical networks, producing specialized instructional materials, and incorporating feedback from Spanish-speaking users. To consolidate regional knowledge on water quality initiatives by mapping and categorizing projects, developing pilot projects, and providing technical and logistical support for their implementation and replication.
",basic research,"To promote the regional harmonization of methodologies and models for monitoring water quality, thereby facilitating the adoption of common approaches among the countries of the Greater Caribbean.",public,,operational,,national,Colombia,social; spatial; biological,,no,no,no,no,no,https://www.invemar.org.co/es/proyectos,,This is a webpag with an excel sheet with information about projects of INVEMAR. I have not found webpages of the projects themselves
Pesquisas em Geociências,Federal University of Rio Grande do Sul,794,Federal University of Rio Grande do Sul,BR,"The geomorphological map serves as an inventory of substrate characteristics and processes. The objectives of this study were to refine the existing geomorphological mapping and to produce a new geomorphological map of the southern coastal zone of the state of Sergipe using remote sensing techniques. The methodology included digital image processing, digital elevation modeling, fieldwork, granulometric and statistical analysis of sediments, and the creation of the geomorphological map. The southern coastal zone of Sergipe comprises two geomorphological units: coastal terraces and the coastal plain, which are connected by inactive cliffs. The coastal plain was divided into seven subunits: inner marine terraces, paleodunes, wetlands/lagoons, outer marine terraces, tidal flats/mangroves, current dunes/interdunes, and beaches. The units/subunits exhibited distinct spectral responses, particularly regarding color and relief (texture), in digital image processing and the digital elevation model. In digital image processing, it was possible to distinguish between: vegetation types; exposed sandy substrate due to the spectral behavior of quartz sands; “clear water” and “water with suspended sediment”; and alignments and truncations of coastal ridges. The digital elevation model highlighted units/subunits with topographic differences, such as coastal flats, paleodunes, and current dunes. This study underscored the importance of remote sensing for improving the geomorphological mapping of coastal zones.",basic research,reveal the importance of remote sensing to better map geomorphological coasts,public,Universidade Federal de Sergipe,pilot,fully,regional,"Sergipe, Brazil",spatial,remote sensing,no,no,no,no,human,https://seer.ufrgs.br/PesquisasemGeociencias/article/view/107654,,
Polynesia Mana Network,National Observatory Service of French Polynesia (CORAIL),795,National Observatory Service of French Polynesia (CORAIL),PF,"The Polynesia Mana surveys focus on outer slopes, homogeneous zones that provides data that can be compared over the years between islands and within some islands. Main targets are coral (hermatypic scleractinians that build the reefs) and fish populations.

Each island is surveyed at least once every second year. When major environmental events occur, additional surveys can be launched in order to establish its immediate and then long-term consequences on the reefs.",mitigate biodiversity loss,coral reef monitoring,public,Institut national des sciences de l'Univers,operational,fully,regional,South Pacific (15 islands and island states),spatial; oceanographic,in-situ,no,yes,periodic,no,no,https://observatoire.criobe.pf/wiki/tiki-index.php?page=Polynesia+Mana+Network,,
Potential Impact of Climate Change on Scaled Fish Fisheries in Baja California Sur,Interdisciplinary Center for Marine Sciences (CICIMAR),357,Government of Mexico,MX,"The climate scenarios presented in the Sixth Assessment Report of the Intergovernmental Panel on Climate Change indicate that Mexico’s coastal areas will be threatened by rising sea levels and increased storm and hurricane intensity, as well as rising temperatures and ocean acidification—all of which occur alongside declines in oxygen concentrations and primary productivity. This outlook highlights that climate change must become a priority issue for decision-makers, communities, and other stakeholders concerned with the well-being of the fisheries sector, in order to promote the adoption of management measures from an adaptive perspective and within a framework of participatory governance.",climate change adaptation; blue economy; stakeholder inclusion,"To understand the potential impact of climate change on fisheries, we propose developing models that predict changes in the distribution of fish stocks due to the environmental changes currently affecting the oceans. Once local-scale distribution models have been developed, we will assess the extent of change by comparing current distribution patterns with those suggested by the models under various scenarios. In addition, the relative importance index (RII) for the ten species of interest will be estimated by fishing zone/office; the impact of climate change will depend on the RII value and changes in distribution. ",public,,operational,,local,Baja California Sur (Mexico),social; biological; spatial,,no,no,no,yes,human,https://www.cicimar.ipn.mx/investigacion/proyectos.html,,Information about the research project is displayed in pop-up windows. 
Predictive models incorporating data assimilation and physical-biogeochemical coupling: A study of the impact of submesoscale and mixing processes on biology,Ensenada Center for Scientific Research and Advanced Studies (CICESE),50,Government of Mexico,MX,"Currently, socioeconomically significant issues, such as oil spills in the ocean or the arrival of sargassum on Mexican shores, have highlighted the need for ocean prediction models equipped with data assimilation systems. Furthermore, the scientific community has found these numerical models to be powerful tools that enable us to answer questions of current relevance.",disaster prevention,"This project brings together three areas of research: (i) systems for data assimilation and ocean forecasting, (ii) coupled physical-biogeochemical models, and (iii) submesoscale and vertical mixing processes. Through these lines of research, the aim is to improve our understanding of the ocean’s physical-biogeochemical system, while also proposing a forecasting system based on the assimilation of operational observations.",public,,operational,,,,oceanographic; biological,in-situ,no,no,no,yes,human,https://www.cicese.edu.mx/investigacion/oceanografia_fisica/3,,Information about the research project is displayed in pop-up windows. 
PROHAV,SINTEF,591,SINTEF,NO,predict and assess the production environment for new aquaculture locations,better ocean systems data; better decision-making,numerical models to predict and evaluate potential aquaculture locations,public,Norwegian Seafood Research Fund,development,no,regional,Primarily norway,oceanographic; spatial,in-situ,no,,,yes,human,https://www.sintef.no/en/projects/2024/the-impact-of-the-production-environment-on-fish-behaviour-biology-and-welfare-in-exposed-aquaculture-and-offshore-aquaculture-prohav/,Found on SITEF site,
Projected sardine fishing grounds off the coast of Baja California.,Ensenada Center for Scientific Research and Advanced Studies (CICESE),50,Government of Mexico,MX,"The Pacific sardine fishery (Sardinops sagax) is one of the highest-yielding fisheries along the western Pacific coast. Catches are recorded from Mexican waters to those of the United States and Canada, with volumes varying by region and even from year to year, placing pressure on all stages of the supply chain. The causes of these variations have been linked to the species’ life history and its fluctuations in abundance in response to environmental variables.",blue economy,combine one year of local observations of hydrography and sardine catch areas with regional simulations of ocean conditions to predict sardine occurrence areas using Random Forest models. The modeled ocean conditions will be derived from a validated high-resolution regional ecosystem model for the California Current (ROMS-BEC).,public,,operational,,local,Baja California (Mexico),biological; oceanographic,remote sensing; desk research,no,no,no,yes,human,https://www.cicese.edu.mx/investigacion/oceanografia_biologica/2,,Information about the research project is displayed in pop-up windows. 
Protecting Saint-Malo’s waterfront against increasing storm impacts,City of Saint-Malo; Danish Hydraulic Institute (DHI),796;797,City of Saint-Malo; Danish Hydraulic Institute (DHI),DK; FR,"The studies provided the city of Saint-Malo with reliable, data-driven tools to support long-term coastal planning and flood risk management. Decision support for coastline management: DHI’s coastal morphodynamics model allows the city to evaluate the impacts and relevance of coastal protection scenarios such as beach nourishment and restoration of deteriorated groynes
Accurate simulation of future flooding events: The models enable the city to simulate flooding accurately to assess the effectiveness of projects adapting the sea front dyke system and the stormwater drainage",coastal zone protection; disaster prevention,spatial planning; flood prediction,private,Danish Hydrolic Institute,operational,no,local,Saint-Malo,oceanographic; social; spatial,in-situ; remote sensing,no,no,no,yes,human,https://www.dhigroup.com/projects/protecting-saint-malo-s-waterfront-against-increasing-storm-impacts,,
R&D of the highly accurate digital twin models for ship hull structures,Japan Ship Technology Research Association (JSTRA),798,Japan Ship Technology Research Association (JSTRA),JP,"JSTRA is conducting feasibility studies for the development of basic technologies towards the realization of the “digital twin” models for ship hull structures. Using highly accurate simulation methods, these models reproduce the structural behavior of actual ships throughout their lifecycle—at various stages from design to construction and operation—in a computer-driven virtual environment.",sustainable shipping,grasp the stress responses over the whole ship structure in waves by data assimilation that merges hull monitoring and numerical simulation,private,Nippon Foundation,operational,no,,,,,,,,,,https://www.jstra.jp/en/R&D/,,
ReefTEMPS,The Pacific Community; ENTROPIE; University of the South Pacific; French Polynesia Department of Marine Resources (DRMM); Université de La Réunion,799;800;801;802;803,The Pacific Community; ENTROPIE; University of the South Pacific; French Polynesia Department of Marine Resources (DRMM); Université de La Réunion,PF; RE; NC; FR; FJ,"temperature, pressure and salinity sensors in the tropical coastal zone, mainly in the South Pacific, for long-term monitoring of climate change and its effects on the state of coral reefs and their resources",climate change adaptation; ecosystem restoration,"provide long-term, real-time, and innovative monitoring of reef environments, combining classic temperature time series with new IoT-enabled sensors (swell, pH), live dashboards, and automated bleaching risk alerts",public,French Ministry of Higher Education through CNRS/INSU,operational,fully,regional,Coastal water observation in the Pacific and Indian ocean,oceanographic; biological,in-situ; desk research,no,yes,yes,no,human,https://www.reeftemps.science/en/about-reeftemps/,,
Regional Ocean Modeling System (ROMS),"University of California, Los Angeles; Rutgers University (RU)",804;805,University of California; Rutgers University (RU),US,"advancing the accuracy, resolution, and usability of regional ocean simulations. ROMS is used to model how a given region of the ocean responds to physical forcings such as heating or wind. It can also be used to model how a given ocean system responds to inputs like sediment, freshwater, ice, or nutrients, requiring coupled models nested within the ROMS framework.",better ocean systems data,"advancing the accuracy, resolution, and usability of regional ocean simulations",public,"Rutgers University;
University of California, Los Angeles",operational,fully,global,global,oceanographic; biological; spatial,remote sensing; in-situ; desk research; citizen science,no,no,no,no,no,https://www.myroms.org/index.php?,,
"Relationship between body size distribution, production, and productivity across three trophic levels in an estuary and its ecological implications using simulation models",Ensenada Center for Scientific Research and Advanced Studies (CICESE),50,Government of Mexico,MX,"Traditional methods for measuring productivity and production are highly destructive and require a great deal of laboratory and field work. However, the use of allometric methods and body size distributions at different trophic levels (Zostera marina seagrass beds, associated benthic fauna, and ichthyofauna) within the ecosystem would provide us with a simple and likely accurate estimate of the gross production and productivity of our study area.",basic research,explore the ecological implications of the body of theories that make simple and relatively accurate quantitative predictions of biological phenomena.,public,,operational,,,,biological,in-situ,no,no,no,yes,human,https://www.cicese.edu.mx/investigacion/ecologia_marina/1,,Information about the research project is displayed in pop-up windows. 
Rethinking COASTal landSCAPES with climate-resilient interventions: systemic land-to-sea solutions (COAST-SCAPES),"Pensoft Publishers; WWF Spain; Royal Melbourne Institute of Technology (RMIT Europe); Odessa National University (ONU); Global Climate Forum; Euro-Mediterranean Center on Climate Change (CMCC); Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz; Helmholtz-Zentrum Hereon; Eurecat; University of San Francisco at Quito; University Assane Seck de Ziguinchor; Scottish Association for Marine Science; National Institute of Marine Geology and Geoecology (GeoEcoMar); Polytechnic University of Catalonia; University of Can Tho; University Save; Medidas De Adaptacion Costera Sostenible Sl; Consortium for the Coordination of Research on the Venice Lagoon System (CORILA); Association WWF Romania; Ministero delle infrastrutture e dei transporti; New Water Culture Foundation (FNCA); University of North; Maritime Engineering Laboratory (LIM); University Mohammed Premier; University of Aveiro; University of Munich (LMU)",806;807;808;809;810;811;812;813;814;815;816;817;818;819;820;821;822;823;824;825;826;827;828;829;830;831;832;833,"Pensoft Publishers; CMCC; WWF Spain; Odessa National University (ONU); Global Climate Forum; Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz; Helmholtz-Zentrum Hereon; Medidas De Adaptacion Costera Sostenible Sl ; Eurecat; University of San Francisco at Quito; University Assane Seck de Ziguinchor; Scottish Association for Marine Science; Polytechnic University of Catalonia; RMIT Europe; University of Can Tho; University Save; Consortium for the Coordination of Research on the Venice Lagoon System (CORILA); Government of Romania; Association WWF Romania; Ministero delle infrastrutture e dei transporti; New Water Culture Foundation (FNCA); University of North; University Mohammed Premier; University of Aveiro; University of Munich (LMU)",IT; EC; PT; MA; BE; RO; DE; SN; VN; UA; GB; ES; MZ; CO,"We propose nature-based-solutions (NbS) suited to a broad range of coastal archetypes, governance, climates and resilience deficits, sequenced along resilience-through-adaptation pathways. Such solutions, supported by governance transformation and cross-sectoral engagement, will be applied by regions and communities empowered by an unprecedented combination of technical tools, financial models and social commitment.",stakeholder inclusion; climate change adaptation,"co-design systemic resilience solutions for coastal landscapes using transdisciplinary indicators, early and climatic warnings, business models and knowledge-based maintenance to reduce climatic risks and improve land to sea environments",public,"European Climate, Infrastructure and Environment Executive Agency - Horizon Europe Climate",operational,,,,oceanographic; social,,no,no,yes,no,human,https://www.cmcc.it/projects/coast-scapes-rethinking-coastal-landscapes-with-climate-resilient-interventions-systemic-land-to-sea-solutions,,I found about these projects through the first author. The file on zotero is not a paper but an abstract for a conference with no link to any project
WaveWatch III,National Center for Environmental Prediction,834,National Oceanic and Atmospheric Administration (NOAA),US,"WAVEWATCH III (https://github.com/noaa-emc/ww3) is a community wave modeling framework that includes the latest scientific advancements in the field of wind-wave modeling and dynamics. The core of the framework consists of the WAVEWATCH III third-generation wave model (WAVE-height, WATer depth and Current Hindcasting), developed at NOAA/NCEP.",basic research,WAVEWATCH III® solves the random phase spectral action density balance equation for wavenumber-direction spectra.,public,NOAA/NCEP,operational,fully,global,global ,spatial; oceanographic,remote sensing,no,no,no,yes,no,https://www.weather.gov/sti/coastalact_ww3,,
Riser Fatigue Digital Twin,Petrobras; Recife Center for Advanced Studies and Systems (CESAR); Federal University of Rio de Janeiro (UFRJ),835;836;837,Federal Government of Brazil; Recife Center for Advanced Studies and Systems (CESAR); Federal University of Rio de Janeiro (UFRJ),BR,"aiming to predict the remaining fatigue life of risers connected to floating production units, focusing on the top region and on tensile armors",disaster prevention,"captures real-time monitored internal pressures and movement data from sensors installed on the vessels and automatically calculates the fatigue damages and remaining lives; hybrid methods to perform global and local analyses quickly, and then calculates damage for each sea state to which the production unit and the risers are subjected",public,Federal University of Rio de Janeiro (UFRJ); Petrobras (Petróleo Brasileiro S.A.); Recife Center for Advanced Studies and Systems (CESAR),development,no,local,offshore risers (Brazilian coastline),oceanographic; spatial,in-situ,no,yes,yes,no,human,-,,
Salish Sea Model,Pacific Northwest National Laboratory (PNNL),838,Government of the United States of America,US,"predictive coastal ocean model for estuarine research, restoration planning, water-quality management, and climate change response assessment",climate change adaptation; combat pollution,,public,IOOS,operational,fully,local,Salish Sea,oceanographic; spatial; biological,remote sensing; in-situ,no,yes,yes,yes,no,https://www.pnnl.gov/projects/salish-sea-model,,
Sansha Bay Digital Twin System,Xiameng University,37,Xiameng University ,CN,"Using an XR digital twin technology platform, we will establish a high-precision digital twin foundation for Sansha Bay that covers all spatial dimensions, processes, and elements. By integrating water temperature and salinity prediction models, we will implement a smart aquaculture model based on digital twins to enhance the resilience of the aquaculture industry.",better ocean systems data; blue economy,"Building a high-precision digital twin foundation for Sansha Bay that covers all spatial dimensions, processes, and elements",public,China,operational,no,local,Sansha Bay,oceanographic; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://mcloud.xmu.edu.cn/info/1821/5230.htm,,
SatCO2: Online Ocean Remote Sensing Analysis Platform,Ministry of Natural Resources; Zhejiang University,370;839,Zhejiang University; Government of China,CN,"The Online Marine Remote Sensing Analysis Platform, formerly known as the Marine Carbon Cycle Remote Sensing Monitoring and Analysis System (hereinafter referred to as the “SatCO2 Platform”), is a freely distributed software suite that utilizes remote sensing data for 3D spherical visualization, multi-source data processing, and applied analysis. It is designed to promote the sharing and multidisciplinary application of marine satellite remote sensing data. The SatCO2 Platform’s features include: 1) online access to specialized remote sensing datasets; 2) 3D Earth visualization and scientific computing; 3) User-defined algorithm development and new product generation; 4) Interactive analysis of remote sensing, in-situ, and model data; 5) Calculation and assessment of oceanic carbon dioxide fluxes; 6) Integration of open-source specialized modules (e.g., red tide detection, water quality classification, etc.).",basic research,"Users can easily access shared remote sensing and field measurement data through the SatCO2 platform to perform 3D spherical visualization analysis, or conduct comprehensive analysis by combining this data with local multi-source remote sensing and field measurement data.",public,China,operational,fully,global,global,oceanographic; spatial,remote sensing,no,yes,no,no,human,https://web.satco2.com:11005/satco2-web/main?lang=zh-cn,,
Sea Eagle AI Tuna Smart Fishing Forecast System,Shanghai Ocean University (SOU); China National Fisheries Corporation (CNFC),5;840,Shanghai Ocean University (SOU); China National Fisheries Corporation (CNFC),CN,Forecasts for key tuna fishing grounds and medium- to long-term stock assessments provide scientific support for the scientific management and production of the tuna fishery,blue economy,Improve fishing efficiency,public,China,operational,no,global,global,oceanographic; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://kepu.gmw.cn/agri/2024-04/23/content_37280648.htm,,
seaDOTS,Helmholtz-Zentrum Hereon; Netcompany-Intrasoft (INTRA); International Council for the Exploration of the Sea (ICES); Open Geospatial Consortium (OGC); University of Iceland; SINTEF; Helmholtz Centre for Ocean Research Kiel (GEOMAR); Stockholm Resilience Centre; Zentrix Lab (ZEN),591;61;841;842;843;844;845;846;847,Helmholtz-Zentrum Hereon; Netcompany-Intrasoft (INTRA); International Council for the Exploration of the Sea (ICES); Open Geospatial Consortium (OGC); University of Iceland; SINTEF; Zentrix Lab (ZEN); Helmholtz; Stockholm University,DK; RS; DE; LU; IS; SE; US; NO,"Integrating socio-ecological and socio-economic data streams into Digital Ocean Twins (DOTs) to advance marine spatial planning. Enabling ""what-if"" scenario analysis to assess the impact of human activities on marine ecosystems. Promoting collaboration across scientific, industrial, and governmental stakeholders to ensure informed, holistic ocean management.",better decision-making; better ocean systems data,"merging cutting-edge ocean data with socio-ecological and socio-economic social-ecological models, SEADOTs will helps policymakers and stakeholders make data-driven decisions for sustainable ocean use. The project focuses on three regions, addressing the complex interactions between human activities and marine ecosystems to protect our ocean for future generations.",public,EU Horizon Europe Research and Innovation Programme,development,fully,regional,"North sea, Baltic sea",oceanographic; social,in-situ; remote sensing,no,yes,yes,yes,human,https://seadots-project.eu,,
SeSaM (Seasonal Sargassum Monitoring and Forecasting),Space for Climate Observatory of France (SCO); Satellite Localization Collection (CLS); National Research Institute for Sustainable Development of France (IRD); Mercator Ocean International (MOI); Centre national d'études spatiales (CNES),848;291;108;849;104,Space for Climate Observatory of France (SCO); Mercator Ocean International (MOI); Centre national d'études spatiales (CNES); CNES; Government of France,FR,"SeSaM contributes to sargassum algae management in all the territories affected by sargassum strandings. Using satellite observations and numerical modelling, SeSaM allows observing the situation in real time and forecasting the next seasonal sargassum proliferation and influxes. ",mitigate biodiversity loss; climate change adaptation,"SeSaM has enabled the development and provision of a tool for monitoring and forecasting Sargassum seaweed beds. Monitoring is based on satellite detection of Sargassum banks, and seasonal forecasting, initiated by satellite detection, is based on an ecosystem model that incorporates ocean currents. The data is now available on the project's GIS interface; daily maps of sargassum presence index at 300m resolution. Maps at 20m resolution are also produced every two/three days in coastal areas; including reprocessed time series which are critical for the seasonal forecast application",public,Space for Climate Observatory (SCO) France,operational,fully,regional,Tropical Atlantic Ocean (Caribbean Sea - East of the Caribbean islands - Cuba - Yucatan - Western Africa),biological; spatial,remote sensing; desk research,no,yes,yes,yes,human,https://www.spaceclimateobservatory.org/sesam,https://datastore.cls.fr/sargassum-seasonal/#!&page=isv-mainPage,
SFI AutoShip DT,SINTEF; Norwegian University of Science and Technology (NTNU),786;591,SINTEF; Norwegian University,NO,"optimise use of ASV as autonomous surface vessels (ASVs) play an increasingly important role in the safety and sustainability of open sea operations; most maritime accidents are related to human failure, intelligent algorithms for autonomous collision avoidance and path following can drastically reduce the risk in the maritime sector; enhance the situational awareness (SITAW) of such an ASV to generate optimal decisions; building on an existing DT framework for ASVs and demonstrates foundations for enabling predictive, prescriptive, and autonomous capabilities",disaster prevention,"predictions of the sensor fusion method of the ASV's path; integration within the Unity game engine; demonstrate foundations for enabling predictive, prescriptive, and autonomous capabilities; sophisticated target tracking approaches are crucial for estimating and predicting the position and motion of other dynamic objects in the ASV's path; applied tracking method is enabled by real-time automatic identification system (AIS) data and synthetic light detection and ranging (LiDAR) measurements",public,EU Horizon 2020; Research Council of Norway,pilot,no,local,Trondheim fjord (for the pilot),social; spatial; oceanographic,in-situ; desk research,no,no,yes,yes,automated,-,,
SLICING (Sea Level Innovations and Collaborative Intercomparison for the Next-Generation products),Datlas Ocean; Satellite Localization Collection (CLS); Mercator Ocean International (MOI); IMT Atlantique; Copernicus Marine Service (CMEMS),850;108;851;852;849,Datlas Ocean; Institut Mines-Télécom (IMT); Mercator Ocean International (MOI); CNES; European Union,FR,"compare state-of-the-art methods to improve L3 and L4 processing and will deliver a concrete orientation proposal for the Copernicus Service evolution; Moreover, the larger goal of the project is to generate gathering points for the scientific community around well-posed problems with evaluation metrics that meet the Copernicus Marine Service expectations.",better decision-making,"advancing oceanographic data quality through collaborative data challenges, aiming to refine Level 3 and Level 4 sea level products. Four data challenges were initiated, exploring denoising, calibration, and altimetry mapping techniques for sea level products, yielding insights and recommendations for operationalizing innovative methods in the Copernicus Marine Service catalog",public,CMEMS,operational,fully,global,(Level 3 and Level 4) sea level products,spatial,remote sensing; desk research,no,no,yes,no,human,https://ocean-data-challenges.github.io/ ; https://marine.copernicus.eu/about/research-development-projects/2022-2024/slicing,,More of a 'digital ocean model' that researches data use for models but I wanted to include it just in case
SmartCover New Jersey American Water DT,Smart Cover Systems; Hazen & Sawyer; New Jersey American Water (NJAW),853;854;855,Smart Cover Systems; Hazen & Sawyer; New Jersey American Water (NJAW),US,"preventing SSO events and identifying problematic areas in their sewer systems which has an effect on coastal areas in NJ; allowing the utility to better allocate resources for system maintenance, including: Improved visibility allows site cleaning to be performed based on real-time trends; Personnel and equipment redirected to other projects delivers gains in productivity; Continuous monitoring between cleanings enables SSO protection and risk reduction; Less time in roadways results in crew safety; Fewer cleanings reduce pipe and structural wear to extend asset life; The sewer technology has allowed New Jersey American Water to perform targeted analysis on their sewers, providing real-time data and alarming to avert sanitary sewer overflows, backups, and subsequent cleanup",coastal zone protection,"targeted analysis on sewer mains, providing real-time data and alarming to avert sanitary sewer overflows, backups, and subsequent cleanup; technology also needed to provide valuable data for I&I analysis to make quicker, informed capital investment decisions (less relevant for the tracker but listed as technical objective); monitoring units aim to provide real-time, low-cost level/flow data, and provide real-time alarms to dispatch crews before overflows occur",public,New Jersey American Water (NJAW),operational,no,local,"Site Lakewood: First site to deploy sewer monitoring, system suffers from high population and undersized pipes to test the pilot; further sites where it was further extended to: 1.Bound Brook: Total lack of historic records 2.Egg Harbor City: Older system, with flat topography with pump stations and tidal influences (high ground water table) 3.Haddonfield: Major I&I issues, suburb of an older major NJ City (Camden) 4.Long Hill Township: Hilly terrain, no additional connections permitted (self-imposed sewer bans), and wet weather flows increase treatment needs from 1 to 4 MGD. 5.Ocean City: Older system, surrounded by water, and prone to flooding (tidal) 6.Somerville: A recent acquisition with known SSO issues and a wet weather facility being built downstream by the County",oceanographic; spatial,in-situ; desk research; remote sensing,no,yes,yes,no,human,-,,
SMARTLAGOON,Bologna University; Catholic University of Murcia (UCAM); Photrack Ag; Polytechnic University of Valencia (UPV); University of Uppsala ; Norwegian Institute for Water Research (NIVA); WateriTech; Vielca Ingenieros,692;693;694;76;483;695;696;697,Bologna University; Catholic University of Murcia (UCAM); Photrack Ag; Vielca; Polytechnic University of Valencia (UPV); University of Uppsala ; Norwegian Institute for Water Research (NIVA); WateriTech,DK; IT; CH; SE; ES; NO,"Our mission is to find new modeling approaches to predict socio-environmental evolution in highly anthropized coastal lagoons, which means finding new solutions not only to monitor the change faced by biodiversity but also to understand how to prevent and minimally impact the natural balance of ecosystems. These natural systems are especially vulnerable to climatic and anthropogenic pressures, such as intensive agriculture and extensive urbanization as a consequence of the tourist development. Never before as much as now, due to, and not only due to, climate change, it is essential to be able to help and be on the front line to protect and respect our Earth and those particularly affected areas such as the Mar Menor coastal lagoon. ",mitigate biodiversity loss; ecosystem restoration; climate change adaptation,"aims to monitor and analyze the lagoon environment of the Mar Menor in Murcia, Spain to predict socio-environmental evolution in highly anthropized coastal lagoons.",public,Horizon Europe,operational,partially,local,"Mar Menor, Murcia, Spain",oceanographic; spatial; social,in-situ; remote sensing; citizen science,no,yes,yes,yes,human,https://www.smartlagoon.eu/,,
Social Values for Ecosystem Services (SolVES),U.S. Geological Survey,236,U.S. Geological Survey,US,"A tool to assess, map, and quantify nonmarket values perceived by various groups of ecosystem stakeholders.",,"SolVES derives a quantitative, 10-point, social-values metric, the “value index”, from a combination of spatial and nonspatial responses to public value and preference surveys and calculates metrics characterizing the underlying environment, such as average distance to water and dominant landcover.",public,US Department of Interior ,operational,fully,global,global ,oceanographic; social; biological; spatial,remote sensing; in-situ,no,yes,no,yes,no,https://www.usgs.gov/,,
SOMLIT,Aix-Marseille University; University of Lille; European Institute for Marine Studies (IUEM); National Museum of Natural History; La Rochelle University; Aquitaine Observatory of Universe Sciences; University of the Littoral Opal Coast; Sorbonne University; University of Caen; University of Montpellier,856;90;857;858;92;859;860;861;862;863,Aix-Marseille University; University of Lille; La Rochelle University; Aquitaine Observatory of Universe Sciences; University of the Littoral Opal Coast; Sorbonne University; University of Caen; National Museum of Natural History of France; University of Western Brittany (UBO); University of Montpellier,FR,acquisition of long-term observation data of coastal areas for better understanding of the evolution of ecosystems ,better decision-making; ecosystem restoration,"13 historical parameters (temperature, salinity, pH, dissolved oxygen, nitrate, nitrite, ammonium, phosphate, dissolved silica, suspended matter, chlorophyll a, carbon and particulate organic nitrogen) measured in surface waters, stable isotopes of carbon and particulate organic nitrogen as well as pico-nanoplankton have been added; Vertical probe profiles (temperature, salinity, fluorescence, PAR) ",public,French Ministry of Higher Education through CNRS/INSU,operational,fully,regional,French coasts,biological; spatial; oceanographic,in-situ,no,yes,yes,no,human,https://www.somlit.fr,,
SONEL,La Rochelle University; Naval Hydrographic and Oceanographic Service of France (SHOM); National Center for Scientific Research (CNRS); University of Toulouse; National Institute of Geographic and Forest Information (IGN),864;789;787;865;866,La Rochelle University; Naval Hydrographic and Oceanographic Service of France (SHOM); University of Toulouse; National Institute of Geographic and Forest Information (IGN); Government of France,FR,"address the issue of sea-level change along the French coast through in-situ observations of coastal sea level using tide gauges, answer the question for the observation sites: is the sea level rising or is the land sinking over long term time scales?",better ocean systems data,"get more from several mono-thematic permanent observing networks, either geodetic or sea-level oriented by integrating them into an efficient data collection and dissemination scheme, and by combining their measurements in order to provide specific products",public,French Ministry of Higher Education through CNRS/INSU,operational,fully,regional,French coasts,oceanographic; spatial,in-situ,no,yes,yes,no,no,https://www.sonel.org/-GPS-.html,,"It seems that SONEL has a visualisation option while GLOSS; the bigger network it is part of, does not have its own visualisation but feeds into others: I would then not consider it a model but more a network for now, https://psmsl.org/gloss/"
Study and Monitoring of the Effects of El Niño on the Marine Ecosystem off the Coast of Peru,Multisectoral Committee for the National Study of the El Niño Phenomenon (ENFEN); Peruvian Institute of the Sea (IMARPE),587;867,Ministry of Productionof Peru; Ministry of Environment of Peru,PE,i) Bio-oceanographic monitoring along the northern Peruvian coast aboard research vessels; ii) Daily monitoring of biological indicators derived from the Fisheries Monitoring and Fishing Logbook Program; iii) Study of the effects of waves breaking on the coast on the fertility and biological productivity of the marine ecosystem off the coast of Peru; and iv) Dissemination of the results.,basic research,i) Bio-oceanographic monitoring along the northern Peruvian coast aboard research vessels; ii) Daily monitoring of biological indicators derived from the Fisheries Monitoring and Fishing Logbook Program; iii) Study of the effects of waves breaking on the coast on the fertility and biological productivity of the marine ecosystem off the coast of Peru; and iv) Dissemination of the results.,public,,operational,,national,Paita (Peru); Chicama (Peru),oceanographic; biological,remote sensing; in-situ,no,no,,,,https://www.imarpe.pe/imarpe/imagenes/portal/imarpe/P6-PPR.pdf,,"The webpage was redesigned, and there is no information about the projects anymore. I could not double check if the project has public value"
